Company,price Rs.,Day High Rs.
ICICI Bank,960.05,965.00
Zomato,82.55,85.25
RBL Bank,211.60,213.45
Tech Mahindra,1228.65,1232.00
Tejas Networks,858.85,880.00
JBM Auto,1466.60,1539.60
Coforge,4925.80,4966.40
Godrej Properties,1666.10,1678.00
Birlasoft,379.70,381.00
National Aluminium,89.30,89.60
Just Dial,833.35,850.00
Zensar Technologies,426.55,429.20
Jindal Steel & Power,641.60,645.00
Info Edge,4720.80,4737.85
Satin Creditcare,185.40,200.80
Himadri Speciality,142.75,143.70
Craftsman Automation,4542.60,4644.70
ONGC,169.25,169.75
Polycab India,3874.35,3886.95
NCC,137.15,139.00
GE Shipping,788.75,820.00
Engineers India,126.75,128.00
Krishna Inst.Medi,1922.40,1940.00
Century Textile &Ind,951.20,955.90
Glenmark Pharma,702.10,704.90
Oracle Finl. Service,4021.50,4029.95
OMDC,4354.35,4600.00
Exide Inds,254.25,257.45
Supreme Industries,3348.80,3491.15
Escorts Kubota,2376.75,2392.00
HDFC Asset Mngt. Co,2379.80,2386.60
Genus Power Infra,179.05,181.00
Elecon Engg.,721.75,773.95
Lloyds Steels,35.15,35.75
Datamatic Global Ser,665.90,678.70
Colgate Palmol. (I),1836.65,1840.00
Sunflag Iron & Steel,219.55,220.95
Kesoram Industries,70.30,73.65
Pix Transmission,1204.05,1204.05
Zydus Lifesciences,595.35,597.90
Muthoot Finance,1307.75,1309.85
Precision Camshafts,219.00,219.00
Premier Explosives,792.75,797.00
Moschip Technologies,106.70,112.05
Phoenix Mills,1705.40,1722.45
Trigyn Technologies,132.70,138.10
HPL Electric,211.90,213.00
Kellton Tech Solut.,86.05,87.70
Indo Count Inds,221.50,224.90
CG Power & Indl.Soln,408.75,410.00
Abans Holdings,326.75,343.80
Can Fin Homes,802.40,811.95
Medplus Health Servi,870.30,889.90
Ujjivan Financial,428.35,435.25
Bajaj Hold & Invest,7534.75,7590.00
SKF India,5289.75,5350.00
Ritco Logistics,268.25,268.25
Metro Brands,1076.40,1090.00
MSTC,387.55,390.00
Gillette India,5779.70,5823.90
Tilaknagar Inds,161.30,167.00
VRL Logistics,757.05,772.50
Avalon Technologies,695.20,732.10
De Nora India,2256.15,2323.25
Snowman Logistics,49.65,50.00
Usha Martin,308.55,312.00
Bharat Wire Ropes,202.00,205.90
Lloyds Metals&Energy,544.50,550.00
Neyveli Lignite,117.90,118.20
IIFL Finance,547.30,550.00
RainbowChildrenS Med,1097.15,1105.00
CMS Info Systems,394.85,398.00
Shalby,188.65,192.50
Ashoka Buildcon,92.65,96.35
Indo-National,522.00,526.55
KEI Industries,2446.45,2464.90
Uniparts India,648.25,654.20
Pennar Industries,87.00,89.95
63 Moons Tech.,268.20,282.10
Lumax Auto Tech,385.75,394.00
ADF Foods,1090.60,1135.00
Onward Technologies,569.85,597.85
Patel Engineering,45.35,45.35
Transformers & Rect,108.45,112.00
Foods & Inns,204.65,206.90
KEC International,603.20,611.95
Sanghi Industries,82.65,82.65
Refex Industries,727.45,727.45
Gokaldas Exports,533.95,540.65
Waaree Renewables,1304.85,1347.10
SJS Enterprises,597.10,611.85
Bliss GVS Pharma,90.55,92.50
Vesuvius India,2648.25,2670.00
Ahluwalia Contract(I,684.25,699.00
Sealmatic India,488.75,490.00
Westlife Development,886.00,914.70
Fusion Micro Fin.,609.50,615.90
CCL Products (India),729.90,749.50
Kothari Petrochem,91.45,97.00
Jeena Sikho Life,615.50,619.20
Taneja Aerospace,219.25,221.00
360 One Wam,510.60,514.85
Sat Industries,102.55,103.80
Xpro India,945.85,980.00
SKM Egg Products,243.35,243.35
3M India,28597.45,29190.00
Techno Electric &Eng,431.70,440.70
Dynamatic Tech,3917.60,4050.00
Rossell India,426.45,437.50
LG Balakrishnan&Bros,1225.35,1230.00
Rane Brake Lining,898.10,915.85
Magna ElectroCasting,572.55,593.85
Jai Balaji Inds,96.65,99.95
Sarda Energy&Mineral,1586.95,1647.95
Muthoot Capital Serv,418.30,422.75
Global Vectra Helico,85.50,87.15
Cosmic CRF,229.20,285.00
Esab india,4327.80,4400.00
NGL Fine-Chem,2084.55,2100.00
Modison,82.30,83.90
Balu Forge Industrie,185.40,187.70
KMC Speciality Hosp,79.50,80.45
ZF Comm Vehic Contr,12553.00,12677.95
Kewal Kiran Clothing,644.75,649.00
Panasonic Carbon,438.60,450.00
Multibase India,241.65,264.00
IFGL Refractories,388.50,403.45
Ador Welding,1277.80,1300.90
Intellivate Capital,35.56,35.56
S.P. Apparels,484.05,493.00
Manaksia Aluminium,28.10,28.50
EIH Associated Hotel,531.35,549.90
Lumax Industries,2331.75,2339.00
Manorama Industries,1768.90,1770.75
Aditya Vision,1845.00,1948.00
Arfin India,35.55,36.10
Lehar Footwears,151.10,156.25
Talbros Engineering,714.25,729.00
Kilburn Engg.,142.00,147.00
RACL Geartech,1296.60,1300.00
Hawkins Cookers,6600.00,6649.00
Algoquant Fintech,650.00,673.00
Beekay Steel,546.00,559.90
REX Pipes and Cables,77.15,77.15
Ador Fontech,122.55,126.00
Sindhu Trade Links,25.25,27.00
Synergy Green Inds.,209.65,218.75
Mauria Udyog,8.88,8.88
Automobile Corp.Goa,1275.00,1279.00
International Combus,702.40,709.00
ZF Steering Gear (I),770.10,790.00
Guj. Intrux,192.20,201.00
Lancor Holdings,51.13,51.26
Integrated Personnel,93.05,99.00
Veekayem Fashion,75.20,76.00
Abhishek Integration,68.25,68.25
Danlaw Technology,769.20,780.00
Cadsys India,101.85,101.85
Continental Petrol.,59.49,59.49
Natural Biocon (I),8.41,9.29
Suraj Products,170.05,177.45
ATV Projects India,11.19,11.19
KCD Industries India,26.00,27.40
Jagatjit Inds.,147.00,147.00
Veerhealth Care,32.61,34.45
Sicagen India,24.35,25.80
Softsol India,171.50,179.90
AK Spintex,109.05,115.00
Patspin India,14.10,14.50
Nova Iron & Steel,22.22,22.22
Disa India,10350.00,10350.00
Howard Hotels,15.50,16.57
Arihant Foundn. &Hsg,39.65,39.95
Capfin India,34.06,34.06
Global Offshore Serv,7.85,8.40
Munoth Communication,9.90,10.48
Rajkot Investment,41.45,41.70
GTN Textiles,19.50,19.50
GTN Inds,11.95,12.25
Vapi Enterprise,115.00,115.00
Swojas Energy Foods,11.97,11.97
MPIL Corporation,336.80,339.95
Zodiac-JRD-MKJ,31.95,33.50
Servotech Inds.,12.12,12.12
Agarwal Fortune Ind,18.79,18.79
Rathi Steel & Power,5.10,5.10
Ganon Products,14.50,15.15
CIL Nova Petro,16.05,16.15
Chartered Capl. &Inv,161.00,168.75
Machhar Industries,33.56,33.56
Kabra Drugs,5.37,5.91
Teesta Agro Inds,40.99,40.99
Shiva Suitings,16.28,16.28
Bhudevi Infra Proj,20.30,20.30
Sar Auto Products,1080.00,1080.00
